,0
2018-03-01,409.503448541161
2018-04-01,411.08131734765647
2018-05-01,411.6971383176398
2018-06-01,410.98619507899843
2018-07-01,409.35030788585647
2018-08-01,407.20642517449204
2018-09-01,405.6359554891828
2018-10-01,405.7850324743996
2018-11-01,407.25845430520786
2018-12-01,408.72777342953793
2019-01-01,409.94440449169923
2019-02-01,410.7575657461537
2019-03-01,411.76293964176153
2019-04-01,413.34847210986953
2019-05-01,413.9666463473027
2019-06-01,413.2507436968234
2019-07-01,411.60480750901434
2019-08-01,409.448088517589
2019-09-01,407.8679495040341
2019-10-01,408.01682341784544
2019-11-01,409.49732283586246
2019-12-01,410.973690521682
2020-01-01,412.1959758336907
2020-02-01,413.01257116789577
2020-03-01,414.0224307423621
2020-04-01,415.6156268720826
2020-05-01,416.23615437696554
2020-06-01,415.51529231464843
2020-07-01,413.85930713217226
2020-08-01,411.689751860686
2020-09-01,410.09994351888537
2020-10-01,410.24861436129123
2020-11-01,411.73619136651706
2020-12-01,413.21960761382604
2021-01-01,414.44754717568225
2021-02-01,415.2675765896379
2021-03-01,416.2819218429626
2021-04-01,417.88278163429567
2021-05-01,418.50566240662835
2021-06-01,417.7798409324734
2021-07-01,416.11380675533013
2021-08-01,413.93141520378293
2021-09-01,412.33193753373666
2021-10-01,412.4804053047371
2021-11-01,413.9750598971716
2021-12-01,415.4655247059701
2022-01-01,416.69911851767375
2022-02-01,417.52258201137994
2022-03-01,418.54141294356316
2022-04-01,420.14993639650874
2022-05-01,420.7751704362912
2022-06-01,420.0443895502984
2022-07-01,418.36830637848806
2022-08-01,416.1730785468799
2022-09-01,414.5639315485879
2022-10-01,414.71219624818286
2022-11-01,416.21392842782615
2022-12-01,417.71144179811415
2023-01-01,418.9506898596653
2023-02-01,419.77758743312205
2023-03-01,420.8009040441637
2023-04-01,422.4170911587218
2023-05-01,423.04467846595406
2023-06-01,422.3089381681234
2023-07-01,420.6228060016459
2023-08-01,418.4147418899769
2023-09-01,416.7959255634392
2023-10-01,416.94398719162865
2023-11-01,418.4527969584807
2023-12-01,419.9573588902582
2024-01-01,421.2022612016569
2024-02-01,422.0325928548641
2024-03-01,423.06039514476424
2024-04-01,424.6842459209348
2024-05-01,425.3141864956169
2024-06-01,424.57348678594843
2024-07-01,422.87730562480385
2024-08-01,420.6564052330738
2024-09-01,419.0279195782905
2024-10-01,419.1757781350745
2024-11-01,420.6916654891353
2024-12-01,422.20327598240226
2025-01-01,423.4538325436484
2025-02-01,424.2875982766062
2025-03-01,425.3198862453648
2025-04-01,426.9514006831479
2025-05-01,427.5836945252798
2025-06-01,426.83803540377346
2025-07-01,425.1318052479618
2025-08-01,422.8980685761708
2025-09-01,421.25991359314173
2025-10-01,421.4075690785203
2025-11-01,422.9305340197899
2025-12-01,424.4491930745463
2026-01-01,425.70540388563995
2026-02-01,426.5426036983483
2026-03-01,427.5793773459653
2026-04-01,429.21855544536095
2026-05-01,429.8532025549426
2026-06-01,429.10258402159843
2026-07-01,427.38630487111965
2026-08-01,425.1397319192677
2026-09-01,423.491907607993
2026-10-01,423.6393600219661
2026-11-01,425.16940255044443
2026-12-01,426.69511016669037
2027-01-01,427.9569752276315
2027-02-01,428.7976091200903
2027-03-01,429.83886844656587
2027-04-01,431.485710207574
2027-05-01,432.12271058460544
2027-06-01,431.36713263942346
2027-07-01,429.6408044942776
2027-08-01,427.3813952623647
2027-09-01,425.72390162284427
2027-10-01,425.8711509654119
2027-11-01,427.40827108109903
2027-12-01,428.9410272588344
2028-01-01,430.208546569623
2028-02-01,431.0526145418324
2028-03-01,432.0983595471664
2028-04-01,433.75286496978714
2028-05-01,434.3922186142683
2028-06-01,433.6316812572485
2028-07-01,431.8953041174354
2028-08-01,429.62305860546167
2028-09-01,427.95589563769556
2028-10-01,428.1029419088577
2028-11-01,429.6471396117536
2028-12-01,431.1869443509785
2029-01-01,432.4601179116146
2029-02-01,433.30761996357444
2029-03-01,434.35785064776695
2029-04-01,436.0200197320002
2029-05-01,436.66172664393116
2029-06-01,435.8962298750735
2029-07-01,434.1498037405933
2029-08-01,431.8647219485586
2029-09-01,430.18788965254686
2029-10-01,430.33473285230355
2029-11-01,431.8860081424082
2029-12-01,433.4328614431225
2030-01-01,434.7116892536061
2030-02-01,435.56262538531655
2030-03-01,436.6173417483675
2030-04-01,438.2871744942133
2030-05-01,438.93123467359396
2030-06-01,438.1607784928985
2030-07-01,436.4043033637512
2030-08-01,434.10638529165556
2030-09-01,432.41988366739815
2030-10-01,432.56652379574933
2030-11-01,434.1248766730628
2030-12-01,435.67877853526653
2031-01-01,436.96326059559766
2031-02-01,437.8176308070586
2031-03-01,438.87683284896804
2031-04-01,440.55432925642634
2031-05-01,441.20074270325676
2031-06-01,440.4253271107235
2031-07-01,438.6588029869091
2031-08-01,436.34804863475256
2031-09-01,434.6518776822494
2031-10-01,434.7983147391952
2031-11-01,436.3637452037173
2031-12-01,437.9246956274106
2032-01-01,439.2148319375892
2032-02-01,440.0726362288007
2032-03-01,441.1363239495686
2032-04-01,442.8214840186394
2032-05-01,443.4702507329196
2032-06-01,442.68987572854854
2032-07-01,440.913302610067
2032-08-01,438.5897119778495
2032-09-01,436.8838716971007
2032-10-01,437.0301056826409
2032-11-01,438.6026137343719
2032-12-01,440.17061271955464
2033-01-01,441.46640327958073
2033-02-01,442.3276416505428
2033-03-01,443.3958150501691
2033-04-01,445.0886387808525
2033-05-01,445.7397587625825
2033-06-01,444.95442434637357
2033-07-01,443.1678022332249
2033-08-01,440.8313753209464
2033-09-01,439.115865711952
2033-10-01,439.2618966260867
2033-11-01,440.84148226502646
2033-12-01,442.4165298116987
2034-01-01,443.7179746215723
2034-02-01,444.5826470722849
2034-03-01,445.6553061507696
2034-04-01,447.35579354306554
2034-05-01,448.0092667922453
2034-06-01,447.21897296419854
2034-07-01,445.4223018563828
2034-08-01,443.07303866404345
2034-09-01,441.3478597268033
2034-10-01,441.49368756953254
2034-11-01,443.08035079568106
2034-12-01,444.66244690384275
2035-01-01,445.96954596356375
2035-02-01,446.83765249402694
2035-03-01,447.91479725137015
2035-04-01,449.6229483052786
2035-05-01,450.27877482190814
2035-06-01,449.48352158202357
2035-07-01,447.6768014795407
2035-08-01,445.31470200714034
2035-09-01,443.5798537416545
2035-10-01,443.7254785129783
2035-11-01,445.31921932633566
2035-12-01,446.9083639959868
2036-01-01,448.22111730555537
2036-02-01,449.09265791576905
2036-03-01,450.1742883519707
2036-04-01,451.8901030674917
2036-05-01,452.548282851571
2036-06-01,451.74807019984854
2036-07-01,449.93130110269857
2036-08-01,447.5563653502373
2036-09-01,445.8118477565058
2036-10-01,445.95726945642417
2036-11-01,447.5580878569902
2036-12-01,449.15428108813086
2037-01-01,450.4726886475469
2037-02-01,451.3476633375111
2037-03-01,452.43377945257123
2037-04-01,454.15725782970475
2037-05-01,454.81779088123386
2037-06-01,454.0126188176736
2037-07-01,452.1858007258565
2037-08-01,449.79802869333423
2037-09-01,448.0438417713571
2037-10-01,448.18906039986996
2037-11-01,449.79695638764474
2037-12-01,451.4001981802749
2038-01-01,452.7242599895384
2038-02-01,453.6026687592532
2038-03-01,454.69327055317177
2038-04-01,456.4244125919178
2038-05-01,457.08729891089666
2038-06-01,456.27716743549854
2038-07-01,454.44030034901436
2038-08-01,452.03969203643123
2038-09-01,450.2758357862084
2038-10-01,450.42085134331575
2038-11-01,452.03582491829934
2038-12-01,453.64611527241897
2039-01-01,454.97583133152995
2039-02-01,455.8576741809953
2039-03-01,456.9527616537723
2039-04-01,458.6915673541308
2039-05-01,459.3568069405595
2039-06-01,458.54171605332357
2039-07-01,456.6947999721723
2039-08-01,454.2813553795282
2039-09-01,452.5078298010597
2039-10-01,452.6526422867616
2039-11-01,454.2746934489539
2039-12-01,455.892032364563
2040-01-01,457.22740267352145
2040-02-01,458.1126796027374
2040-03-01,459.21225275437286
2040-04-01,460.95872211634395
2040-05-01,461.6263149702224
2040-06-01,460.8062646711486
2040-07-01,458.94929959533016
2040-08-01,456.5230187226251
2040-09-01,454.7398238159109
2040-10-01,454.8844332302074
2040-11-01,456.5135619796085
2040-12-01,458.1379494567071
2041-01-01,459.478974015513
2041-02-01,460.36768502447944
2041-03-01,461.4717438549734
2041-04-01,463.225876878557
2041-05-01,463.89582299988524
2041-06-01,463.07081328897357
2041-07-01,461.2037992184881
2041-08-01,458.7646820657221
2041-09-01,456.97181783076223
2041-10-01,457.1162241736532
2041-11-01,458.752430510263
2041-12-01,460.38386654885113
2042-01-01,461.7305453575046
2042-02-01,462.62269044622144
2042-03-01,463.73123495557394
2042-04-01,465.4930316407701
2042-05-01,466.1653310295481
2042-06-01,465.3353619067986
2042-07-01,463.45829884164596
2042-08-01,461.0063454088191
2042-09-01,459.2038118456135
2042-10-01,459.348015117099
2042-11-01,460.9912990409176
2042-12-01,462.6297836409952
2043-01-01,463.9821166994961
2043-02-01,464.8776958679636
2043-03-01,465.9907260561745
2043-04-01,467.76018640298315
2043-05-01,468.4348390592109
2043-06-01,467.5999105246236
2043-07-01,465.7127984648038
2043-08-01,463.248008751916
2043-09-01,461.43580586046477
2043-10-01,461.5798060605448
2043-11-01,463.23016757157217
2043-12-01,464.87570073313924
2044-01-01,466.23368804148765
2044-02-01,467.1327012897056
2044-03-01,468.250217156775
2044-04-01,470.0273411651962
2044-05-01,470.70434708887376
2044-06-01,469.86445914244865
2044-07-01,467.96729808796175
2044-08-01,465.48967209501296
2044-09-01,463.667799875316
2044-10-01,463.81159700399064
2044-11-01,465.46903610222677
2044-12-01,467.12161782528324
2045-01-01,468.48525938347916
2045-02-01,469.3877067114477
2045-03-01,470.50970825737556
2045-04-01,472.2944959274093
2045-05-01,472.9738551185366
2045-06-01,472.1290077602736
2045-07-01,470.2217977111196
2045-08-01,467.73133543810997
2045-09-01,465.8997938901673
2045-10-01,466.04338794743643
2045-11-01,467.70790463288137
2045-12-01,469.36753491742735
2046-01-01,470.7368307254707
2046-02-01,471.6427121331898
2046-03-01,472.7691993579761
2046-04-01,474.56165068962235
2046-05-01,475.2433631481994
2046-06-01,474.39355637809865
2046-07-01,472.47629733427755
2046-08-01,469.9729987812069
2046-09-01,468.1317879050186
2046-10-01,468.2751788908823
2046-11-01,469.9467731635359
2046-12-01,471.61345200957135
2047-01-01,472.9884020674623
2047-02-01,473.8977175549319
2047-03-01,475.02869045857665
2047-04-01,476.8288054518354
2047-05-01,477.5128711778623
2047-06-01,476.6581049959237
2047-07-01,474.7307969574354
2047-08-01,472.21466212430386
2047-09-01,470.3637819198699
2047-10-01,470.506969834328
2047-11-01,472.1856416941905
2047-12-01,473.8593691017154
2048-01-01,475.2399734094538
2048-02-01,476.15272297667394
